InvoiceID,SellerID,BuyerID,TaxID,DeviceID,Payment_methodID,CancelReasonID,ErrorTypeID,InvoiceTotal_amount,subtotal_amount,tax_amount,discount_amount,invoice_Date,invoice_ModifiedDate
1,442,1172,1,15,3,1.0,1.0,31921.480000000000,27757.81,4163.67,0.0,02-10-24,04-04-25
2,156,614,2,14,3,5.0,4.0,46356.01,40309.57,6046.44,0.0,03-15-25,05-09-25
3,192,451,5,20,4,3.0,1.0,39356.55,35174.98,5276.25,1094.68,12-27-23,06-12-25
4,4,1487,4,4,5,,4.0,43654.43,40519.0,6077.85,2942.42,09-08-24,06-02-25
5,244,742,3,20,1,2.0,3.0,49478.49,43024.77,6453.72,0.0,04-25-24,04-18-25
6,124,1572,3,38,2,5.0,1.0,49493.24,43037.6,6455.64,0.0,03-10-25,04-23-25
7,145,161,4,17,5,2.0,1.0,55101.59,47914.43,7187.16,0.0,04-08-24,04-21-24
8,52,1193,1,29,4,4.0,2.0,10869.88,9452.07,1417.81,0.0,05-14-24,08-19-24
9,37,1665,2,17,5,2.0,2.0,29527.93,25676.46,3851.47,0.0,02-04-25,05-15-25
10,164,1571,2,21,1,3.0,4.0,29026.630000000001,27645.77,4146.87,2766.01,09-23-23,10-16-23
11,238,1032,5,30,2,,3.0,9818.549999999999,8537.87,1280.68,0.0,03-23-24,03-23-24
12,156,1041,2,2,5,4.0,3.0,32817.04,28536.56,4280.48,0.0,05-18-24,04-19-25
13,12,1960,2,23,5,5.0,2.0,3071.1,2670.52,400.58,0.0,12-08-24,06-05-25
14,126,890,1,50,1,1.0,4.0,25802.5,22436.96,3365.54,0.0,02-22-25,02-22-25
15,262,383,1,46,4,2.0,2.0,43337.93000000000,37685.16,5652.77,0.0,12-20-24,05-07-25
16,9,521,5,30,5,3.0,5.0,12367.66,10754.49,1613.17,0.0,12-03-23,04-16-25
17,262,494,4,26,4,2.0,5.0,47267.08,41101.81,6165.27,0.0,10-24-23,03-27-25
18,217,1555,5,35,4,5.0,5.0,33957.19,29527.99,4429.2,0.0,08-03-23,06-01-24
19,174,1214,3,8,3,3.0,5.0,44053.85000000000,39923.92,5988.59,1858.66,05-03-25,05-17-25
20,255,1058,3,28,3,2.0,4.0,589.63,512.72,76.91,0.0,04-04-25,04-04-25
21,302,595,4,16,5,1.0,5.0,25813.14,22446.21,3366.93,0.0,10-24-23,11-15-23
22,202,65,5,24,4,5.0,3.0,56318.9,48972.96,7345.94,0.0,03-29-24,06-05-24
23,368,592,3,50,5,1.0,2.0,8477.97,7372.15,1105.82,0.0,04-25-24,11-09-24
24,247,516,4,10,1,2.0,1.0,33123.38,28802.94,4320.44,0.0,03-12-25,03-12-25
25,128,1797,3,43,1,1.0,5.0,49428.75,42981.52,6447.23,0.0,02-04-25,04-01-25
26,286,1940,4,25,1,1.0,4.0,22863.72,19881.5,2982.22,0.0,01-22-25,01-25-25
27,156,1141,1,12,4,1.0,2.0,37407.04,32527.86,4879.18,0.0,11-23-24,12-01-24
28,190,624,2,47,2,5.0,4.0,10361.69,10577.24,1586.59,1802.14,08-13-24,12-29-24
29,203,837,1,7,4,4.0,1.0,20461.020000000000,17792.19,2668.83,0.0,10-29-23,12-31-24
30,211,613,5,20,5,1.0,3.0,5456.290000000000,4744.6,711.69,0.0,01-27-24,02-23-25
31,355,39,2,5,3,4.0,2.0,18523.15,19432.84,2914.93,3824.62,04-06-25,05-29-25
32,306,1466,4,14,4,1.0,1.0,17191.44,16891.25,2533.69,2233.5,05-15-25,06-12-25
33,198,405,1,2,4,5.0,5.0,5846.930000000000,5924.95,888.74,966.76,12-19-24,04-28-25
34,29,139,5,49,5,4.0,2.0,14506.1,12614.0,1892.1,0.0,10-05-23,05-23-25
35,190,1904,3,26,4,4.0,2.0,31824.35,27673.35,4151.0,0.0,11-23-23,03-26-25
36,265,46,5,46,3,2.0,4.0,27006.96,27707.91,4156.19,4857.14,01-13-25,03-07-25
37,100,816,3,30,2,2.0,4.0,27288.02,23728.71,3559.31,0.0,01-22-25,03-16-25
38,351,1232,4,26,2,4.0,,8957.49,7789.12,1168.37,0.0,02-24-24,05-09-25
39,226,65,1,2,4,1.0,4.0,37003.65,32177.09,4826.56,0.0,07-09-23,09-15-23
